cle,emplacement_source,datetime_ingestion,privacy_level,nom_entreprise,nro_avis,site_web,taille,date_fondation,secteur,revenu,type_entreprise
206187023275788944160836219409529205949,13572-INFO-SOC-GLASSDOOR-E2098670_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,Adsearch                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.adsearch.fr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,De 51 à 200 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Ne sait pas / non applicable par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
105881306066965092299750064234872118691,13679-INFO-SOC-GLASSDOOR-E906809_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,Fortuneo SA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.fortuneo.fr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Entre 201 et 500 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 2000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Banques et organismes de crédit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Ne sait pas / non applicable par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Filiale ou unité d'exploitation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
232382150534851695458371119333248286922,13615-INFO-SOC-GLASSDOOR-E6538_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2021-03-21,0                                                 ,CNH Industrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," 1,2k                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",www.cnhindustrial.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Plus de 10 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 2013                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Fabrication industrielle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entre 5 et 10 milliards € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entreprise cotée en bourse (CNHI)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
172694096695197393902607290128022185236,13783-INFO-SOC-GLASSDOOR-E231247_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,ACCEO Solutions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 27                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.acceo.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,De 501 à 1 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1988                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Solutions logicielles et réseau d'entreprise                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Entre 100 et 500 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
114220422142969336548652287575253760173,13661-INFO-SOC-GLASSDOOR-E633820_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,Sii Poland                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 156                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,www.sii.pl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 2006                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Services informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entre 100 et 500 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
329583390798857998826974527079947178700,13733-INFO-SOC-GLASSDOOR-E852040_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,Yongzhi Plastic Electronics (Shenzhen) Co.                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,www.everwin8.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Entre 201 et 500 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 1993                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Fabrication industrielle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Ne sait pas / non applicable par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3344996151642013912628719487296894474,13653-INFO-SOC-GLASSDOOR-E454220_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,Loria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , 9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,www.loria.fr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,De 501 à 1 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Recherche et développement                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Ne sait pas / non applicable par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
202416511048090290171426782189526116617,13729-INFO-SOC-GLASSDOOR-E234791_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,Astek Group                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,www.astekgroup.co.uk                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,De 1 à 50 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Fabrication de produits de soins de santé                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , Entre 1 et 5 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Entreprise cotée en bourse (AKG)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
156130686137821469778726425241731432559,13602-INFO-SOC-GLASSDOOR-E3516_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2021-03-21,0                                                 ,Volvo Group                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 956                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,www.volvogroup.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Plus de 10 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1927                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Fabrication d'équipement de transport                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , Entre 5 et 10 milliards € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entreprise cotée en bourse (VOLVY)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
213471280834493227905182902799422029505,13623-INFO-SOC-GLASSDOOR-E1146056_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,Montreal Associates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 33                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.montrealassociates.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,De 51 à 200 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 1978                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Recrutement et sous-traitance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , Entre 50 et 100 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
